Subject,age,sex,O,C,E,A,N,n_obs,n_futures
61213211925.0,22.0,female,5.5,6.5,4.0,6.0,1.5,10,10.0
61213214441.0,33.0,male,4.5,5.5,1.5,5.0,5.0,18,6.0
61313012621.0,22.0,male,5.5,4.5,4.0,4.5,5.0,1,1.0
61313104407.0,23.0,male,5.0,5.0,4.5,3.5,3.5,7,5.0
61313224828.0,20.0,female,7.0,3.0,6.0,3.0,5.0,3,0.0
61413085327.0,21.0,female,4.5,6.0,6.0,5.5,6.0,1,1.0
61413085329.0,21.0,female,5.5,7.0,4.0,7.0,4.5,17,5.0
61413090148.0,23.0,female,5.5,5.0,5.5,5.5,3.5,17,4.0
61413090151.0,26.0,male,6.0,7.0,4.0,6.0,3.0,12,6.0
61413090231.0,36.0,female,5.0,6.0,5.5,5.0,2.0,18,3.0
61413090349.0,55.0,male,4.5,5.0,1.5,3.5,2.0,18,2.0
61413090947.0,24.0,female,4.5,5.0,3.0,5.0,5.0,17,4.0
61413091043.0,21.0,female,4.5,6.0,4.5,5.0,3.5,9,3.0
61413091642.0,54.0,female,6.5,6.0,3.0,6.5,3.0,16,3.0
61413091658.0,27.0,female,5.0,6.0,2.0,3.0,4.0,12,7.0
61413092147.0,22.0,male,6.0,4.0,2.5,5.5,2.0,14,4.0
61413094735.0,19.0,female,4.5,7.0,6.0,4.5,5.5,17,5.0
61413095011.0,60.0,female,6.5,5.5,2.5,5.5,2.5,4,3.0
61413100722.0,26.0,female,5.5,7.0,2.0,2.0,3.5,15,3.0
61413100824.0,39.0,male,6.0,5.0,2.0,4.5,1.5,16,3.0
61413101510.0,28.0,male,6.5,6.0,6.5,5.5,1.5,16,7.0
61413101540.0,24.0,female,7.0,4.0,5.0,5.5,3.5,14,5.0
61413102811.0,29.0,female,6.0,7.0,5.0,6.0,2.5,16,7.0
61413104316.0,20.0,male,3.0,4.5,6.0,3.5,2.0,13,1.0
61413104649.0,31.0,male,3.5,5.5,2.5,4.5,2.5,18,6.0
61413125333.0,23.0,female,6.5,7.0,1.5,4.0,4.0,15,2.0
61413142147.0,22.0,male,4.0,6.0,3.5,4.0,3.5,13,6.0
61413153105.0,33.0,female,5.5,5.5,6.0,4.5,2.0,8,2.0
61413163145.0,27.0,male,4.5,7.0,2.5,5.0,3.5,12,5.0
61413193648.0,21.0,female,6.5,6.0,6.0,7.0,4.0,16,7.0
61413203134.0,31.0,male,3.5,4.5,1.0,5.0,2.5,15,3.0
61513110618.0,24.0,male,5.5,4.5,4.0,6.5,4.0,7,4.0
61613092052.0,19.0,female,6.5,4.5,7.0,4.5,1.5,16,6.0
61613163712.0,20.0,female,5.0,5.5,2.0,5.0,3.5,9,0.0
61613180808.0,25.0,male,6.0,6.0,4.5,6.0,3.0,10,3.0
61713174852.0,55.0,female,7.0,7.0,2.0,5.0,1.5,15,3.0
61813203412.0,27.0,female,7.0,6.0,4.0,5.0,3.0,7,2.0
61913120330.0,35.0,male,4.0,5.0,2.5,4.5,1.5,18,6.0
61913123405.0,33.0,female,5.0,5.0,5.0,5.0,4.0,17,0.0
61913125110.0,29.0,female,7.0,7.0,4.0,4.0,1.0,17,4.0
61913130015.0,27.0,male,7.0,4.0,5.0,4.5,4.0,16,5.0
61913130030.0,30.0,female,5.5,5.5,3.0,4.0,4.5,18,6.0
61913132710.0,30.0,male,6.5,6.5,5.0,6.5,1.5,18,7.0
61913132737.0,25.0,male,5.5,6.0,2.5,5.5,2.5,15,7.0
61913132904.0,22.0,male,4.5,5.5,6.0,3.5,3.0,2,0.0
61913132925.0,22.0,female,6.5,7.0,3.0,5.5,4.5,15,3.0
61913142207.0,47.0,male,5.5,6.5,5.5,4.0,3.5,12,1.0
61913170438.0,35.0,female,6.5,7.0,4.5,5.0,4.0,15,0.0
